id,silencerID,chrom,start,end,size,method,cellline,tissue,organ,species,ngene,dgene,genome,strand
45,HS_00278231,chr1,19955355,19955555,200,"High throughput",K562,Blood,Blood,"Homo sapiens",MICOS10,.,hg19,.
46,HS_00278232,chr1,20765876,20766076,200,"High throughput",K562,Blood,Blood,"Homo sapiens",CAMK2N1,.,hg19,.
47,HS_00278233,chr1,21455856,21456056,200,"High throughput",K562,Blood,Blood,"Homo sapiens",EIF4G3,.,hg19,.
48,HS_00278234,chr1,21551136,21551336,200,"High throughput",K562,Blood,Blood,"Homo sapiens",ECE1,.,hg19,.
49,HS_00278235,chr1,23568975,23569175,200,"High throughput",K562,Blood,Blood,"Homo sapiens",HTR1D,.,hg19,.
50,HS_00278236,chr1,23572835,23573035,200,"High throughput",K562,Blood,Blood,"Homo sapiens",HTR1D,HNRNPR,hg19,.
51,HS_00278237,chr1,24831175,24831375,200,"High throughput",K562,Blood,Blood,"Homo sapiens",RCAN3,.,hg19,.
52,HS_00278238,chr1,25195680,25195880,200,"High throughput",K562,Blood,Blood,"Homo sapiens",CLIC4,.,hg19,.
53,HS_00278239,chr1,25436056,25436256,200,"High throughput",K562,Blood,Blood,"Homo sapiens",SYF2,.,hg19,.
54,HS_00278240,chr1,25465640,25465840,200,"High throughput",K562,Blood,Blood,"Homo sapiens",SYF2,SYF2,hg19,.
55,HS_00278241,chr1,25670375,25670575,200,"High throughput",K562,Blood,Blood,"Homo sapiens",TMEM50A,.,hg19,.
56,HS_00278242,chr1,25707735,25707935,200,"High throughput",K562,Blood,Blood,"Homo sapiens",RHCE,.,hg19,.
57,HS_00278243,chr1,25840315,25840515,200,"High throughput",K562,Blood,Blood,"Homo sapiens",MACO1,.,hg19,.
58,HS_00278244,chr1,25962695,25962895,200,"High throughput",K562,Blood,Blood,"Homo sapiens",MAN1C1,.,hg19,.
59,HS_00278245,chr1,25971995,25972195,200,"High throughput",K562,Blood,Blood,"Homo sapiens",MAN1C1,.,hg19,.
60,HS_00278246,chr1,26049855,26050055,200,"High throughput",K562,Blood,Blood,"Homo sapiens",MAN1C1,.,hg19,.
61,HS_00278247,chr1,26583815,26584015,200,"High throughput",K562,Blood,Blood,"Homo sapiens",CEP85,.,hg19,.
62,HS_00278248,chr1,26805435,26805635,200,"High throughput",K562,Blood,Blood,"Homo sapiens",HMGN2,.,hg19,.
63,HS_00278249,chr1,28309555,28309755,200,"High throughput",K562,Blood,Blood,"Homo sapiens",EYA3,.,hg19,.
64,HS_00278250,chr1,29303795,29303995,200,"High throughput",K562,Blood,Blood,"Homo sapiens",EPB41,.,hg19,.
65,HS_00278251,chr1,29720975,29721175,200,"High throughput",K562,Blood,Blood,"Homo sapiens",PTPRU,.,hg19,.
66,HS_00278252,chr1,29792175,29792375,200,"High throughput",K562,Blood,Blood,"Homo sapiens",PTPRU,.,hg19,.
67,HS_00278253,chr1,29792376,29792576,200,"High throughput",K562,Blood,Blood,"Homo sapiens",PTPRU,.,hg19,.
68,HS_00278254,chr1,30209526,30209726,200,"High throughput",K562,Blood,Blood,"Homo sapiens",PTPRU,.,hg19,.
69,HS_00278255,chr1,30225016,30225216,200,"High throughput",K562,Blood,Blood,"Homo sapiens",PTPRU,.,hg19,.
70,HS_00278256,chr1,30328736,30328936,200,"High throughput",K562,Blood,Blood,"Homo sapiens",PTPRU,.,hg19,.
71,HS_00278257,chr1,30818655,30818855,200,"High throughput",K562,Blood,Blood,"Homo sapiens",MATN1,.,hg19,.
72,HS_00278258,chr1,31084876,31085076,200,"High throughput",K562,Blood,Blood,"Homo sapiens",MATN1,.,hg19,.
73,HS_00278259,chr1,31758456,31758656,200,"High throughput",K562,Blood,Blood,"Homo sapiens",SNRNP40,.,hg19,.
74,HS_00278260,chr1,31907935,31908135,200,"High throughput",K562,Blood,Blood,"Homo sapiens",SERINC2,.,hg19,.
75,HS_00278261,chr1,32189456,32189656,200,"High throughput",K562,Blood,Blood,"Homo sapiens",ADGRB2,.,hg19,.
76,HS_00278262,chr1,32795685,32795885,200,"High throughput",K562,Blood,Blood,"Homo sapiens",HDAC1,.,hg19,.
77,HS_00278263,chr1,33015395,33015595,200,"High throughput",K562,Blood,Blood,"Homo sapiens",AL033529.1,.,hg19,.
78,HS_00278264,chr1,33037616,33037816,200,"High throughput",K562,Blood,Blood,"Homo sapiens",AL033529.1,RBBP4,hg19,.
79,HS_00278265,chr1,33776875,33777075,200,"High throughput",K562,Blood,Blood,"Homo sapiens",A3GALT2,ZNF362,hg19,.
80,HS_00278266,chr1,35373278,35373478,200,"High throughput",K562,Blood,Blood,"Homo sapiens",DLGAP3,.,hg19,.
81,HS_00278267,chr1,35851736,35851936,200,"High throughput",K562,Blood,Blood,"Homo sapiens",ZMYM4,.,hg19,.
82,HS_00278268,chr1,36096815,36097015,200,"High throughput",K562,Blood,Blood,"Homo sapiens",PSMB2,.,hg19,.
83,HS_00278269,chr1,36588135,36588335,200,"High throughput",K562,Blood,Blood,"Homo sapiens",COL8A2,.,hg19,.
84,HS_00278270,chr1,37389906,37390106,200,"High throughput",K562,Blood,Blood,"Homo sapiens",GRIK3,.,hg19,.
85,HS_00278271,chr1,37431966,37432166,200,"High throughput",K562,Blood,Blood,"Homo sapiens",GRIK3,.,hg19,.
86,HS_00278272,chr1,37609536,37609736,200,"High throughput",K562,Blood,Blood,"Homo sapiens",GRIK3,.,hg19,.
87,HS_00278273,chr1,38177215,38177415,200,"High throughput",K562,Blood,Blood,"Homo sapiens",CDCA8,.,hg19,.
88,HS_00278274,chr1,39047095,39047295,200,"High throughput",K562,Blood,Blood,"Homo sapiens",RRAGC,.,hg19,.
89,HS_00278275,chr1,40302575,40302775,200,"High throughput",K562,Blood,Blood,"Homo sapiens",TRIT1,.,hg19,.
90,HS_00278276,chr1,41472695,41472895,200,"High throughput",K562,Blood,Blood,"Homo sapiens",CTPS1,.,hg19,.
91,HS_00278277,chr1,41497915,41498115,200,"High throughput",K562,Blood,Blood,"Homo sapiens",SCMH1,.,hg19,.
92,HS_00278278,chr1,42984715,42984915,200,"High throughput",K562,Blood,Blood,"Homo sapiens",CCDC30,.,hg19,.
93,HS_00278279,chr1,43210855,43211055,200,"High throughput",K562,Blood,Blood,"Homo sapiens",P3H1,ERMAP,hg19,.
94,HS_00278280,chr1,44879515,44879715,200,"High throughput",K562,Blood,Blood,"Homo sapiens",RNF220,.,hg19,.
95,HS_00278281,chr1,45355816,45356016,200,"High throughput",K562,Blood,Blood,"Homo sapiens",EIF2B3,.,hg19,.
96,HS_00278282,chr1,45669555,45669755,200,"High throughput",K562,Blood,Blood,"Homo sapiens",ZSWIM5,.,hg19,.
97,HS_00278283,chr1,46056496,46056696,200,"High throughput",K562,Blood,Blood,"Homo sapiens",NASP,.,hg19,.
98,HS_00278284,chr1,46288116,46288316,200,"High throughput",K562,Blood,Blood,"Homo sapiens",MAST2,.,hg19,.
99,HS_00278285,chr1,46478196,46478396,200,"High throughput",K562,Blood,Blood,"Homo sapiens",MAST2,.,hg19,.
100,HS_00278286,chr1,46704615,46704815,200,"High throughput",K562,Blood,Blood,"Homo sapiens",RAD54L,.,hg19,.
101,HS_00278287,chr1,46830375,46830575,200,"High throughput",K562,Blood,Blood,"Homo sapiens",NSUN4,.,hg19,.
102,HS_00278288,chr1,50733816,50734016,200,"High throughput",K562,Blood,Blood,"Homo sapiens",ELAVL4,.,hg19,.
103,HS_00278289,chr1,50939275,50939475,200,"High throughput",K562,Blood,Blood,"Homo sapiens",FAF1,.,hg19,.
104,HS_00278290,chr1,51295315,51295515,200,"High throughput",K562,Blood,Blood,"Homo sapiens",FAF1,.,hg19,.
105,HS_00278291,chr1,51876555,51876755,200,"High throughput",K562,Blood,Blood,"Homo sapiens",EPS15,.,hg19,.
106,HS_00278292,chr1,52252615,52252815,200,"High throughput",K562,Blood,Blood,"Homo sapiens",OSBPL9,.,hg19,.
107,HS_00278293,chr1,52254295,52254495,200,"High throughput",K562,Blood,Blood,"Homo sapiens",OSBPL9,.,hg19,.
108,HS_00278294,chr1,52348995,52349195,200,"High throughput",K562,Blood,Blood,"Homo sapiens",NRDC,.,hg19,.
109,HS_00278295,chr1,52663555,52663755,200,"High throughput",K562,Blood,Blood,"Homo sapiens",ZFYVE9,.,hg19,.
110,HS_00278296,chr1,52682635,52682835,200,"High throughput",K562,Blood,Blood,"Homo sapiens",ZFYVE9,.,hg19,.
111,HS_00278297,chr1,52940635,52940835,200,"High throughput",K562,Blood,Blood,"Homo sapiens",TUT4,.,hg19,.
112,HS_00278298,chr1,52944835,52945035,200,"High throughput",K562,Blood,Blood,"Homo sapiens",TUT4,.,hg19,.
113,HS_00278299,chr1,53153635,53153835,200,"High throughput",K562,Blood,Blood,"Homo sapiens",COA7,GPX7,hg19,.
114,HS_00278300,chr1,53671815,53672015,200,"High throughput",K562,Blood,Blood,"Homo sapiens",CPT2,.,hg19,.
115,HS_00278301,chr1,53895795,53895995,200,"High throughput",K562,Blood,Blood,"Homo sapiens",DMRTB1,.,hg19,.
116,HS_00278302,chr1,54050915,54051115,200,"High throughput",K562,Blood,Blood,"Homo sapiens",GLIS1,.,hg19,.
117,HS_00278303,chr1,54177255,54177455,200,"High throughput",K562,Blood,Blood,"Homo sapiens",GLIS1,.,hg19,.
118,HS_00278304,chr1,54503255,54503455,200,"High throughput",K562,Blood,Blood,"Homo sapiens",TMEM59,.,hg19,.
119,HS_00278305,chr1,54994235,54994435,200,"High throughput",K562,Blood,Blood,"Homo sapiens",ACOT11,.,hg19,.
120,HS_00278306,chr1,55109615,55109815,200,"High throughput",K562,Blood,Blood,"Homo sapiens",MROH7,.,hg19,.
121,HS_00278307,chr1,55170920,55171120,200,"High throughput",K562,Blood,Blood,"Homo sapiens",MROH7,.,hg19,.
122,HS_00278308,chr1,55313095,55313295,200,"High throughput",K562,Blood,Blood,"Homo sapiens",DHCR24,.,hg19,.
123,HS_00278309,chr1,58756436,58756636,200,"High throughput",K562,Blood,Blood,"Homo sapiens",DAB1,.,hg19,.
124,HS_00278310,chr1,59850056,59850256,200,"High throughput",K562,Blood,Blood,"Homo sapiens",FGGY,.,hg19,.
125,HS_00278311,chr1,59920896,59921096,200,"High throughput",K562,Blood,Blood,"Homo sapiens",FGGY,.,hg19,.
126,HS_00278312,chr1,59977696,59977896,200,"High throughput",K562,Blood,Blood,"Homo sapiens",FGGY,.,hg19,.
127,HS_00278313,chr1,61336015,61336215,200,"High throughput",K562,Blood,Blood,"Homo sapiens",NFIA,.,hg19,.
128,HS_00278314,chr1,61809416,61809616,200,"High throughput",K562,Blood,Blood,"Homo sapiens",NFIA,.,hg19,.
129,HS_00278315,chr1,61854836,61855036,200,"High throughput",K562,Blood,Blood,"Homo sapiens",NFIA,.,hg19,.
130,HS_00278316,chr1,62177006,62177206,200,"High throughput",K562,Blood,Blood,"Homo sapiens",TM2D1,.,hg19,.
131,HS_00278317,chr1,63577896,63578096,200,"High throughput",K562,Blood,Blood,"Homo sapiens",FOXD3,.,hg19,.
132,HS_00278318,chr1,65571386,65571586,200,"High throughput",K562,Blood,Blood,"Homo sapiens",JAK1,.,hg19,.
133,HS_00278319,chr1,67450256,67450456,200,"High throughput",K562,Blood,Blood,"Homo sapiens",MIER1,.,hg19,.
134,HS_00278320,chr1,67466616,67466816,200,"High throughput",K562,Blood,Blood,"Homo sapiens",SLC35D1,.,hg19,.
135,HS_00278321,chr1,67939276,67939476,200,"High throughput",K562,Blood,Blood,"Homo sapiens",SERBP1,.,hg19,.
136,HS_00278322,chr1,70719606,70719806,200,"High throughput",K562,Blood,Blood,"Homo sapiens",SRSF11,.,hg19,.
137,HS_00278323,chr1,70837376,70837576,200,"High throughput",K562,Blood,Blood,"Homo sapiens",HHLA3,HHLA3,hg19,.
138,HS_00278324,chr1,70924576,70924776,200,"High throughput",K562,Blood,Blood,"Homo sapiens",CTH,.,hg19,.
139,HS_00278325,chr1,71229015,71229215,200,"High throughput",K562,Blood,Blood,"Homo sapiens",PTGER3,.,hg19,.
140,HS_00278326,chr1,74620436,74620636,200,"High throughput",K562,Blood,Blood,"Homo sapiens",LRRIQ3,.,hg19,.
141,HS_00278327,chr1,75595915,75596115,200,"High throughput",K562,Blood,Blood,"Homo sapiens",LHX8,.,hg19,.
142,HS_00278328,chr1,75980036,75980236,200,"High throughput",K562,Blood,Blood,"Homo sapiens",SLC44A5,.,hg19,.
143,HS_00278329,chr1,77309635,77309835,200,"High throughput",K562,Blood,Blood,"Homo sapiens",ST6GALNAC5,.,hg19,.
144,HS_00278330,chr1,77436836,77437036,200,"High throughput",K562,Blood,Blood,"Homo sapiens",ST6GALNAC5,.,hg19,.
145,HS_00278331,chr1,77502346,77502546,200,"High throughput",K562,Blood,Blood,"Homo sapiens",ST6GALNAC5,.,hg19,.
146,HS_00278332,chr1,84753216,84753416,200,"High throughput",K562,Blood,Blood,"Homo sapiens",SAMD13,.,hg19,.
147,HS_00278333,chr1,88285426,88285626,200,"High throughput",K562,Blood,Blood,"Homo sapiens",LMO4,.,hg19,.
148,HS_00278334,chr1,89953276,89953476,200,"High throughput",K562,Blood,Blood,"Homo sapiens",LRRC8B,.,hg19,.
149,HS_00278335,chr1,90868776,90868976,200,"High throughput",K562,Blood,Blood,"Homo sapiens",BARHL2,.,hg19,.
150,HS_00278336,chr1,92737566,92737766,200,"High throughput",K562,Blood,Blood,"Homo sapiens",GLMN,.,hg19,.
151,HS_00278337,chr1,93595296,93595496,200,"High throughput",K562,Blood,Blood,"Homo sapiens",MTF2,.,hg19,.
152,HS_00278338,chr1,93612106,93612306,200,"High throughput",K562,Blood,Blood,"Homo sapiens",TMED5,.,hg19,.
153,HS_00278339,chr1,93945046,93945246,200,"High throughput",K562,Blood,Blood,"Homo sapiens",FNBP1L,.,hg19,.
154,HS_00278340,chr1,94236256,94236456,200,"High throughput",K562,Blood,Blood,"Homo sapiens",BCAR3,.,hg19,.
155,HS_00278341,chr1,94304936,94305136,200,"High throughput",K562,Blood,Blood,"Homo sapiens",BCAR3,.,hg19,.
156,HS_00278342,chr1,95754136,95754336,200,"High throughput",K562,Blood,Blood,"Homo sapiens",TLCD4-RWDD3,.,hg19,.
157,HS_00278343,chr1,99953876,99954076,200,"High throughput",K562,Blood,Blood,"Homo sapiens",PALMD,.,hg19,.
158,HS_00278344,chr1,101355516,101355716,200,"High throughput",K562,Blood,Blood,"Homo sapiens",EXTL2,EXTL2,hg19,.
159,HS_00278345,chr1,101710955,101711155,200,"High throughput",K562,Blood,Blood,"Homo sapiens",S1PR1,.,hg19,.
160,HS_00278346,chr1,105569916,105570116,200,"High throughput",K562,Blood,Blood,"Homo sapiens",AMY1C,.,hg19,.
161,HS_00278347,chr1,105644016,105644216,200,"High throughput",K562,Blood,Blood,"Homo sapiens",AMY1C,.,hg19,.
162,HS_00278348,chr1,105934536,105934736,200,"High throughput",K562,Blood,Blood,"Homo sapiens",AMY1C,.,hg19,.
163,HS_00278349,chr1,109185160,109185360,200,"High throughput",K562,Blood,Blood,"Homo sapiens",FAM102B,PRPF38B,hg19,.
164,HS_00278350,chr1,109573635,109573835,200,"High throughput",K562,Blood,Blood,"Homo sapiens",WDR47,.,hg19,.
165,HS_00278351,chr1,109864335,109864535,200,"High throughput",K562,Blood,Blood,"Homo sapiens",SORT1,.,hg19,.
166,HS_00278352,chr1,109988955,109989155,200,"High throughput",K562,Blood,Blood,"Homo sapiens",PSMA5,.,hg19,.
167,HS_00278353,chr1,109997275,109997475,200,"High throughput",K562,Blood,Blood,"Homo sapiens",SYPL2,SORT1,hg19,.
168,HS_00278354,chr1,110148515,110148715,200,"High throughput",K562,Blood,Blood,"Homo sapiens",GNAT2,GNAT2,hg19,.
169,HS_00278355,chr1,112190435,112190635,200,"High throughput",K562,Blood,Blood,"Homo sapiens",RAP1A,.,hg19,.
170,HS_00278356,chr1,112407596,112407796,200,"High throughput",K562,Blood,Blood,"Homo sapiens",KCND3,.,hg19,.
171,HS_00278357,chr1,112434275,112434475,200,"High throughput",K562,Blood,Blood,"Homo sapiens",KCND3,.,hg19,.
172,HS_00278358,chr1,112599095,112599295,200,"High throughput",K562,Blood,Blood,"Homo sapiens",KCND3,.,hg19,.
173,HS_00278359,chr1,112626236,112626436,200,"High throughput",K562,Blood,Blood,"Homo sapiens",KCND3,KCND3,hg19,.
174,HS_00278360,chr1,112771435,112771635,200,"High throughput",K562,Blood,Blood,"Homo sapiens",CTTNBP2NL,.,hg19,.
175,HS_00278361,chr1,113020235,113020435,200,"High throughput",K562,Blood,Blood,"Homo sapiens",WNT2B,.,hg19,.
176,HS_00278362,chr1,113106055,113106255,200,"High throughput",K562,Blood,Blood,"Homo sapiens",ST7L,.,hg19,.
177,HS_00278363,chr1,113408175,113408375,200,"High throughput",K562,Blood,Blood,"Homo sapiens",SLC16A1,.,hg19,.
178,HS_00278364,chr1,114494415,114494615,200,"High throughput",K562,Blood,Blood,"Homo sapiens",HIPK1,OLFML3,hg19,.
179,HS_00278365,chr1,114916695,114916895,200,"High throughput",K562,Blood,Blood,"Homo sapiens",TRIM33,.,hg19,.
180,HS_00278366,chr1,115164155,115164355,200,"High throughput",K562,Blood,Blood,"Homo sapiens",DENND2C,.,hg19,.
181,HS_00278367,chr1,115245455,115245655,200,"High throughput",K562,Blood,Blood,"Homo sapiens",NRAS,.,hg19,.
182,HS_00278368,chr1,115283235,115283435,200,"High throughput",K562,Blood,Blood,"Homo sapiens",CSDE1,.,hg19,.
183,HS_00278369,chr1,115285315,115285515,200,"High throughput",K562,Blood,Blood,"Homo sapiens",CSDE1,NRAS,hg19,.
184,HS_00278370,chr1,115391760,115391960,200,"High throughput",K562,Blood,Blood,"Homo sapiens",SYCP1,.,hg19,.
185,HS_00278371,chr1,117489855,117490055,200,"High throughput",K562,Blood,Blood,"Homo sapiens",PTGFRN,.,hg19,.
186,HS_00278372,chr1,117682395,117682595,200,"High throughput",K562,Blood,Blood,"Homo sapiens",VTCN1,TRIM45,hg19,.
187,HS_00278373,chr1,117948875,117949075,200,"High throughput",K562,Blood,Blood,"Homo sapiens",MAN1A2,.,hg19,.
188,HS_00278374,chr1,119385176,119385376,200,"High throughput",K562,Blood,Blood,"Homo sapiens",TBX15,.,hg19,.
189,HS_00278375,chr1,119602956,119603156,200,"High throughput",K562,Blood,Blood,"Homo sapiens",WARS2,TBX15,hg19,.
190,HS_00278376,chr1,120160055,120160255,200,"High throughput",K562,Blood,Blood,"Homo sapiens",ZNF697,PHGDH,hg19,.
191,HS_00278377,chr1,120373895,120374095,200,"High throughput",K562,Blood,Blood,"Homo sapiens",REG4,.,hg19,.
192,HS_00278378,chr1,121300376,121300576,200,"High throughput",K562,Blood,Blood,"Homo sapiens",FCGR1B,.,hg19,.
193,HS_00278379,chr1,145637836,145638036,200,"High throughput",K562,Blood,Blood,"Homo sapiens",RNF115,PIAS3,hg19,.
194,HS_00278380,chr1,146548380,146548580,200,"High throughput",K562,Blood,Blood,"Homo sapiens",PRKAB2,.,hg19,.
195,HS_00278381,chr1,146799456,146799656,200,"High throughput",K562,Blood,Blood,"Homo sapiens",CHD1L,.,hg19,.
196,HS_00278382,chr1,146987895,146988095,200,"High throughput",K562,Blood,Blood,"Homo sapiens",BCL9,.,hg19,.
197,HS_00278383,chr1,149745676,149745876,200,"High throughput",K562,Blood,Blood,"Homo sapiens",FCGR1A,.,hg19,.
198,HS_00278384,chr1,151189196,151189396,200,"High throughput",K562,Blood,Blood,"Homo sapiens",PIP5K1A,SEMA6C,hg19,.
199,HS_00278385,chr1,151323676,151323876,200,"High throughput",K562,Blood,Blood,"Homo sapiens",RFX5,.,hg19,.
200,HS_00278386,chr1,153362556,153362756,200,"High throughput",K562,Blood,Blood,"Homo sapiens",S100A8,.,hg19,.
201,HS_00278387,chr1,154334536,154334736,200,"High throughput",K562,Blood,Blood,"Homo sapiens",ATP8B2,.,hg19,.
202,HS_00278388,chr1,154349996,154350196,200,"High throughput",K562,Blood,Blood,"Homo sapiens",ATP8B2,.,hg19,.
203,HS_00278389,chr1,155364296,155364496,200,"High throughput",K562,Blood,Blood,"Homo sapiens",ASH1L,.,hg19,.
204,HS_00278390,chr1,156272756,156272956,200,"High throughput",K562,Blood,Blood,"Homo sapiens",VHLL,.,hg19,.
205,HS_00278391,chr1,157036820,157037020,200,"High throughput",K562,Blood,Blood,"Homo sapiens",ARHGEF11,.,hg19,.
206,HS_00278392,chr1,158628496,158628696,200,"High throughput",K562,Blood,Blood,"Homo sapiens",SPTA1,.,hg19,.
207,HS_00278393,chr1,160895736,160895936,200,"High throughput",K562,Blood,Blood,"Homo sapiens",ITLN2,CD244,hg19,.
208,HS_00278394,chr1,160948355,160948555,200,"High throughput",K562,Blood,Blood,"Homo sapiens",F11R,.,hg19,.
209,HS_00278395,chr1,162761876,162762076,200,"High throughput",K562,Blood,Blood,"Homo sapiens",HSD17B7,.,hg19,.
210,HS_00278396,chr1,165684255,165684455,200,"High throughput",K562,Blood,Blood,"Homo sapiens",TMCO1,.,hg19,.
211,HS_00278397,chr1,165918696,165918896,200,"High throughput",K562,Blood,Blood,"Homo sapiens",UCK2,.,hg19,.
212,HS_00278398,chr1,166038736,166038936,200,"High throughput",K562,Blood,Blood,"Homo sapiens",FAM78B,.,hg19,.
213,HS_00278399,chr1,166761555,166761755,200,"High throughput",K562,Blood,Blood,"Homo sapiens",POGK,.,hg19,.
214,HS_00278400,chr1,167382215,167382415,200,"High throughput",K562,Blood,Blood,"Homo sapiens",POU2F1,.,hg19,.
215,HS_00278401,chr1,168443655,168443855,200,"High throughput",K562,Blood,Blood,"Homo sapiens",XCL2,.,hg19,.
216,HS_00278402,chr1,168451535,168451735,200,"High throughput",K562,Blood,Blood,"Homo sapiens",XCL2,.,hg19,.
217,HS_00278403,chr1,168902976,168903176,200,"High throughput",K562,Blood,Blood,"Homo sapiens",ATP1B1,.,hg19,.
218,HS_00278404,chr1,169479976,169480176,200,"High throughput",K562,Blood,Blood,"Homo sapiens",F5,.,hg19,.
219,HS_00278405,chr1,169495845,169496045,200,"High throughput",K562,Blood,Blood,"Homo sapiens",F5,.,hg19,.
